FECDETALLE,CODIGO_SAP,TALLA,COLORES,MODELO,TIPO,PROM_FLG_DEPARTAMENTO_1_4_U3M_M2,TOT_PRECIO_CDESC_M0,TOT_PRECIO_M0,PROM_FLG_SUBCANAL_1_1_U3M_M1,PROM_FLG_DEPARTAMENTO_1_4_U3M_M1,PROM_FLG_SUBCANAL_1_1_U3M_M2,CLASS
201501,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,,156.99835,138.92,,,,641
201502,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,,124.06427,120.87,,,,148
201503,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,,278.67054,273.85,,,,524
201504,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,,254.20764,252.21,,,,600
201505,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,,243.5871,264.37,112,396.9,,186
201506,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,396.9,375.5111,405.82,114,421.4,112,504
201507,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,421.4,376.6231,399.97,182,700.7,114,506
201508,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,700.7,455.9915,483.59,213,824.8333333,182,381
201509,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,824.8333333,583.0591,602.36,214,740.4,213,1135
201510,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,740.4,411.40122,435.99,164,536.6333333,214,620
201511,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,536.6333333,523.92751,573.63,190,679.8,164,591
201512,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,679.8,581.99544,718.3,208,770.4,190,972
201601,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,770.4,111.932,117.06,252,901.8,208,206
201602,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,901.8,100.57,104.43,213,736.2,252,312
201603,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,736.2,115.564,120.26,254,913.9383667,213,199
201604,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,913.9383667,387.222,413.02,242,874.3383667,254,465
201605,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,874.3383667,417.952,449.99,229,813.1383667,242,512
201606,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,813.1383667,462.2286,465.0606,188,750.6,229,427
201607,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,750.6,397.4976,403.2796,146,541.8,188,603
201608,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,541.8,458.2086,462.2796,230,730.4,146,493
201609,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,730.4,527.2931,530.8921,239,657.0666667,230,522
201610,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,657.0666667,537.63386,542.64886,265,699.6666667,239,788
201611,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,699.6666667,473.96089,477.26489,162,479.8666667,265,666
