rating,text,date
1,"AirBnB is a horrible, untrustworthy service. They only protect the host.  Do not use!  I booked a 1 month stay.  Two weeks into the stay i discovered, after being horribly I'll, that the apartment was rampant with mold.  I had already paid out of pocket for an ER visit plus medications, and had missed a lot of work.  AirBnB support decided to only refund the unspent nights and disregarded my other expenses.  I would have forgone the medical costs had they given a full refund for the apartment, but they refused.  Total disregard for personal health and safety!",2024-11-04T02:50:46.000Z
1,"We rented a beautiful villa in Ostuni Italy advertised on Airbnb by two separate hosts. It was listed as Manager Special by one place for for a reduced rate compared with the other and we decided to rent it for 5 nights, assuming they were switching management companies.   Several days prior to leaving, I contacted Airbnb customer support to confirm our reservation beacause I did not receive the address or phone to contact our host. They replied with a fake city center coordinate and fake phone number so when we got to Italy, we had no place to go. Our current host managed to contacted the actual host  and received the address, but when we arrived at the property, they claimed they did not receive payment from Airbnb and if we wanted to stay, we needed to pay again. The cost was over $1500 more than the contracted price we paid online and Airbnb refused to refund the difference. I believe we were scammed and would never trust Airbnb site again. Buyer beware!",2024-11-04T05:34:12.000Z
1,"Taylor Swift concert attendees beware !! Airbnb hosts are confirming reservations to make their listing unavailable on the site. Then list the property privately for 10-20 times normal rates. When the confirmed Airbnb renter arrives to check in there is no key and they can’t check in. Airbnb does nothing to help . This happened to my daughters in Indianapolis. Airbnb terms of service states they will assist with alternate accommodation. They offered a refund in the form of a coupon for the next trip. Who would be stupid enough to use them again ? I told them to give the coupon to the person next to them because where it needs to go it should be shoulder depth at the least . I’m going to get busy on creating a site to review businesses that can get 1-5 star reviews and s**t stains like Airbnb can get multiple negative stars to reflect the actual rating they deserve. I feel nauseous giving them 1 star. I can use stars for mediocre to great and anything below zero measured in balloon knots. Up to 5 stars like normal, unlimited balloon knots.",2024-11-04T03:37:39.000Z
1,I booked a place for two nights for $350 and had to cancel two hours later due to unforeseen circumstances. Was issued a partial refund of $148. Next morning after my issue was resolved contacted the host to see if I can continue with the booking as it was still available and pay the partial refund amount as the host had kept $200 already. Had no response at all from the host. Contacted Airbnb customer service who after contacting the host advised that they could not help and if I wanted to book the place would need to pay the full price again meaning it would cost me another 350 on top of the 200 he already kept!!! Think it's legalised extortion. Airbnb took the side of the host. Have used the platform a number of times but will never use again,2024-11-03T05:39:21.000Z
1,"Airbnb is absolute TRASH. We stayed at a host property in Hollywood in February 2024. Today, Nov. 2nd, 2024, 9 months later, I get a message from Airbnb threatening to suspend my account accusing me of using the threat of a negative review to manipulate a host! WTAF?? No, I left a bad review because the place was a sh*thole and the stay was horrific! I had ZERO correspondence with the host about my review nor did I ever threaten the host. I asked Airbnb for evidence if they are going to accuse me of something and nothing but crickets. There are other options. Airbnb, you don't have to ""suspend my account"" because I will never use you again. Take your threats and shove it. VBRO has better properties anyway.",2024-11-02T10:55:23.000Z
1,"Awful platform as a host.Somehow I am rated a Super Host but this is nonsense AirBnB treat me awful. First of all every time someone stays they charge both guests and myself separate admin fees.However what's really upset me is sometimes bookings are automated and sometimes I have to approve. Seems random. Anyway today a booking automated and within an hour I tried to cancel as I was double booked and AirBnB actually charged me 50% of what was paid by the guest as a punishment for the cancellation. This is petty dictatorship type behaviour. I have asked to have my Super Host status removed as I don't want to be associated with AirBnB anymore and I'll cancel my account once all bookings complete.Honestly, if you are a host, don't bother.",2024-10-31T23:35:49.000Z
2,Greedy company.  Whoever cast the latest UK radio voice over for Air b n b needs firing. So irritating & smug.,2024-11-04T19:39:42.000Z
1,"Our stay was enjoyable until we encountered an unfounded claim from the host regarding supposed damage to the toilet pump. We used only the toilet paper provided, flushed nothing inappropriate, and ensured all other items (like makeup wipes) were disposed of in the trash. The pump was never clogged or malfunctioned at any point during our stay.Now, the host is demanding $480 for a repair we did not cause, attempting to hold us responsible for what appears to be pre-existing damage. This experience has left us feeling unfairly accused and frustrated by the lack of integrity in the claims. We do not recommend staying here if you expect transparency and fairness. This took place at 647 New London Rd. Newark, DE.",2024-10-31T02:57:12.000Z
1,"Our stay started off well, but it quickly turned sour due to an unfounded accusation by the host regarding alleged damage to the toilet pump. We used only the toilet paper provided, flushing nothing else, and disposed of other items, like makeup wipes, properly in the trash. The pump was functioning without issue during our stay, and the photo we were sent afterward clearly showed signs of pre-existing damage.Despite this, the host is demanding $480 for a repair we did not cause. The situation has left us feeling not only unfairly accused but also as though we were racially profiled. As respectful guests who take care to treat every property with respect, this experience was extremely disappointing and upsetting. We would not recommend this property to anyone who expects to be treated fairly and without bias. This took place at 647 New London Rd, Newark,DE!",2024-10-31T03:01:03.000Z
1,"I am a host on AIRBNB. I have had problems with my calendar opening itself up to guests at season-low rates after I blocked specific dates for season-high rates. I have called and complained to customer service numerous times, each time allowing guests to keep their reservations except for one. This guest booked during December in Hawaii at a very low rate. AIRBNB complied with my request to cancel their reservation. However, they charged me a $200.00 cancellation fee and removed me as a Super Host. I called customer service (AGAIN) to complain about the cancellation fee. Now AIRBNB has blocked my calendar altogether. We have stopped getting bookings for this unit since I asked them to cancel the unauthorized reservation. Also, every time I unblock the calendar, it automatically blocks entire calendar for 2024 -2025 and beyond. I have since started an account with VRBO but because I synced my calendar, AIRBNB is blocking potential bookings on VRBO and their affiliate sites.",2024-11-03T05:37:03.000Z
1,"I’d give them zero stars if this platform would permit it.I’m going to be guarded about how much is disclosed here given the possibility that we may commence legal proceedings against AirBnB and or the host.Unsafe electrical supply, two middle aged people basically made homeless in a foreign country and our account deleted in an attempt to cut us off from complaining.We were also charged over 50% of the original fee for 2 out of the 7 nights booked.Time to make some noise!",2024-10-28T18:10:22.000Z
1,"We recently stayed in an AIRBNB that was unsanitary, unclean, and had no top sheets.  The owner also lied about the mattress quality.  We were forced to leave after one night and the owner did not offer to fix the problem or give us even a partial refund.   We paid for 5 nights - about $800.  I have a bad back and ask the owner/host specific questions about the mattress BEFORE BOOKING and he lied.  Just as bad, AIRBNB did not help at all.  All we ask for was a partial refund.   They completely sided with the HOST even though he lied and admitted to unsanitary conditions.   People please be aware that AIRBNB will likely side with the HOST, since they get a percentage of the rental fee.  Also, help others and complain.  If you SEE something wrong, say Something in your review!  Thank You.",2024-11-01T22:30:06.000Z
1,"An abusive company and their only concern is to earn money. Up till today I had completely a different impression but today I see that some ambassadors are not being neutral, they are protecting one party other than being a neutral mediator. I have asked them to cancel my booking and they didn’t! I ended up paying a fortune, for a flat that I didn’t even stay! I feel abused, I feel my time and money is stolen! For two days now I am waiting for them to resolve a problem created by them! I am a super host and I unlisted my listing right away. If they are treating me like a host, I don’t want risking my guests being treated by them as I was treated. I am deleting the app and I will stick to using other apps such as booking,reserving etc. If you have self respect,please do something good for yourself and avoid booking on this company.",2024-10-30T22:30:43.000Z
1,"Impossible to book something, keeps asking me to put email , phone number and profile picture and keeps saying I already used that phone number but when I log in on the phone number it asks me to verify an email address that I don't have ! Endless loop I'm in for 4 hours !!!!!!",2024-10-30T19:12:43.000Z
1,Airbnb turned my house into a clandestine ** lab and does not want to take responsibility for it. I have been out of my house for more than a year. The house was shut down by the county and the fbi is involved looking for suspects. I asked them for help since they have a “million dollar insurance” and they don't want to help me!! I attached an e-mail of their response when I asked for help to get my house back to liveable conditions. They said it was not under their terms.,2024-10-31T03:12:33.000Z
